epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,225.736,2.53257,4.2089,3.18072,0.37961,0.13545,0.09518,0.0548,2.32387,3.46137,2.64878,9.98681e-05,9.98681e-05,0.0801263
2,420.631,1.77333,3.23963,2.41779,0.4073,0.20978,0.16108,0.09843,1.78149,3.11402,2.25927,0.000198669,0.000198669,0.0602251
3,613.437,1.56496,2.90442,2.19566,0.52314,0.22991,0.19086,0.11368,1.80059,2.88025,2.1616,0.00029627,0.00029627,0.0403227
4,805.788,1.44465,2.66797,2.0772,0.41802,0.29498,0.27934,0.15806,1.67052,2.60716,2.03931,0.00039267,0.00039267,0.0204191
5,996.619,1.40344,2.50548,2.02718,0.42565,0.30663,0.27467,0.16392,1.66303,2.65272,2.03823,0.000487871,0.000487871,0.000514256
6,1187.05,1.33263,2.36718,1.95838,0.39482,0.32918,0.31014,0.1835,1.58135,2.34778,1.93894,0.000485,0.000485,0.000485
7,1378.1,1.3161,2.27663,1.93768,0.44659,0.35492,0.34642,0.21028,1.5457,2.25159,1.8887,0.000482,0.000482,0.000482
8,1568.86,1.2883,2.17593,1.90733,0.45769,0.38833,0.36982,0.21516,1.55974,2.20876,1.87284,0.000479,0.000479,0.000479
9,1759.67,1.26415,2.10156,1.88197,0.49594,0.40012,0.39138,0.2379,1.49122,2.17817,1.86564,0.000476,0.000476,0.000476
10,1950.46,1.24651,2.04308,1.87167,0.51025,0.41123,0.42533,0.25435,1.45959,2.01769,1.80163,0.000473,0.000473,0.000473
11,2140.58,1.22676,1.98972,1.85091,0.5196,0.4211,0.43312,0.25586,1.45591,2.01808,1.80561,0.00047,0.00047,0.00047
12,2330.83,1.20893,1.939,1.83266,0.53638,0.41875,0.44031,0.2645,1.42844,1.9823,1.78163,0.000467,0.000467,0.000467
13,2523.18,1.19672,1.88995,1.82266,0.55989,0.46052,0.48694,0.28967,1.4299,1.89962,1.76261,0.000464,0.000464,0.000464
14,2714.14,1.18763,1.8549,1.81514,0.56124,0.46025,0.4801,0.28829,1.42375,1.87951,1.76377,0.000461,0.000461,0.000461
15,2904.81,1.18109,1.81253,1.80112,0.60124,0.46401,0.50713,0.30272,1.43893,1.8103,1.76886,0.000458,0.000458,0.000458
16,3096.27,1.16898,1.77802,1.78728,0.61818,0.48798,0.5353,0.31869,1.40073,1.76435,1.72463,0.000455,0.000455,0.000455
17,3287.2,1.1479,1.7226,1.77229,0.56929,0.5008,0.52776,0.31753,1.40997,1.75349,1.73819,0.000452,0.000452,0.000452
18,3477.88,1.14912,1.70015,1.77282,0.64208,0.50893,0.55792,0.33645,1.3642,1.69887,1.69248,0.000449,0.000449,0.000449
19,3668.53,1.13737,1.6655,1.75835,0.65918,0.52789,0.58178,0.352,1.33745,1.65918,1.67079,0.000446,0.000446,0.000446
20,3859.3,1.12516,1.63217,1.75384,0.65441,0.53176,0.58169,0.35012,1.34931,1.63937,1.66519,0.000443,0.000443,0.000443
21,4049.29,1.11928,1.61579,1.74098,0.65848,0.53442,0.59109,0.35764,1.34227,1.61658,1.65286,0.00044,0.00044,0.00044
22,4239.98,1.11426,1.58906,1.74332,0.68706,0.53461,0.60869,0.37041,1.31245,1.59099,1.63707,0.000437,0.000437,0.000437
23,4430.44,1.10397,1.57277,1.7279,0.68664,0.55967,0.62294,0.38125,1.29125,1.54333,1.62455,0.000434,0.000434,0.000434
24,4620.72,1.0954,1.53747,1.71759,0.67922,0.55622,0.62477,0.38251,1.2907,1.53878,1.61806,0.000431,0.000431,0.000431
25,4811.79,1.08437,1.5074,1.70875,0.70586,0.56506,0.64248,0.39335,1.305,1.51395,1.6262,0.000428,0.000428,0.000428
26,5002.91,1.07321,1.48947,1.69818,0.70389,0.57413,0.65224,0.40666,1.26568,1.47292,1.59229,0.000425,0.000425,0.000425
27,5194.15,1.07526,1.46315,1.69536,0.71451,0.57991,0.65638,0.40844,1.27116,1.45643,1.59231,0.000422,0.000422,0.000422
28,5385.34,1.06706,1.44414,1.68871,0.71337,0.59107,0.66089,0.41318,1.25435,1.4369,1.57431,0.000419,0.000419,0.000419
29,5575.13,1.05114,1.41201,1.67645,0.70404,0.62166,0.67305,0.42035,1.23874,1.40226,1.56385,0.000416,0.000416,0.000416
30,5765.74,1.04755,1.40046,1.67087,0.72207,0.60525,0.67879,0.42273,1.23292,1.38654,1.55479,0.000413,0.000413,0.000413
