epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,418.962,2.30673,4.14531,2.95519,0.41334,0.16029,0.09861,0.05428,1.90018,3.22092,2.36031,0.000332894,0.000332894,0.0670435
2,825.195,1.66939,3.32737,2.31594,0.54226,0.1949,0.14017,0.08055,1.76351,3.05157,2.21269,0.00066223,0.00066223,0.0340395
3,1246.17,1.48254,3.03177,2.14119,0.60112,0.19164,0.17674,0.10552,1.60675,2.94212,2.11482,0.000987566,0.000987566,0.00103154
4,1654.03,1.40196,2.83457,2.06427,0.32434,0.26776,0.22724,0.13,1.58747,2.63351,2.01491,0.000982,0.000982,0.000982
5,2040.03,1.35757,2.68262,2.01679,0.4006,0.26895,0.24979,0.14418,1.61344,2.60611,1.97787,0.000976,0.000976,0.000976
6,2454.34,1.32605,2.58756,1.98188,0.42518,0.28833,0.25033,0.14697,1.54184,2.50276,1.92892,0.00097,0.00097,0.00097
7,2879.78,1.28902,2.46895,1.94346,0.45061,0.32843,0.3005,0.17417,1.49869,2.44498,1.91352,0.000964,0.000964,0.000964
8,3312.96,1.27744,2.4056,1.93068,0.33869,0.35272,0.30291,0.18284,1.51031,2.29411,1.88854,0.000958,0.000958,0.000958
9,3691.25,1.25816,2.32671,1.90629,0.43534,0.37719,0.33157,0.19257,1.48485,2.28463,1.86441,0.000952,0.000952,0.000952
10,4079.41,1.2585,2.29753,1.8987,0.40776,0.3969,0.34808,0.2009,1.46882,2.28036,1.86667,0.000946,0.000946,0.000946
11,4530.74,1.23661,2.24544,1.8833,0.45227,0.40256,0.38631,0.22377,1.44372,2.13778,1.83342,0.00094,0.00094,0.00094
12,4946.43,1.20687,2.16361,1.85517,0.48971,0.4138,0.39596,0.22851,1.42318,2.10195,1.82871,0.000934,0.000934,0.000934
13,5377.37,1.21062,2.13508,1.85549,0.48113,0.4127,0.41084,0.23563,1.45462,2.09048,1.86597,0.000928,0.000928,0.000928
14,5769.51,1.20557,2.1111,1.84995,0.50152,0.40691,0.41391,0.23967,1.42679,2.03261,1.79892,0.000922,0.000922,0.000922
15,6134.48,1.17852,2.05729,1.8261,0.53121,0.42871,0.44798,0.25296,1.4339,1.97165,1.7989,0.000916,0.000916,0.000916
16,6525.99,1.17326,2.0283,1.81836,0.5402,0.46503,0.46553,0.26766,1.38127,1.90074,1.76557,0.00091,0.00091,0.00091
17,6949.66,1.16971,2.0203,1.81673,0.57471,0.46124,0.47436,0.27705,1.37631,1.90408,1.76127,0.000904,0.000904,0.000904
18,7364.42,1.17244,1.99257,1.81594,0.56422,0.46569,0.48558,0.28527,1.37259,1.88149,1.72931,0.000898,0.000898,0.000898
19,7728.48,1.1588,1.95548,1.79727,0.58799,0.46772,0.49175,0.28879,1.36941,1.82713,1.72653,0.000892,0.000892,0.000892
20,8087.4,1.14304,1.92192,1.78474,0.60782,0.48194,0.52013,0.29945,1.37584,1.81302,1.73505,0.000886,0.000886,0.000886
21,8546.57,1.13678,1.88949,1.77247,0.61407,0.4919,0.53624,0.31012,1.37197,1.77568,1.72053,0.00088,0.00088,0.00088
22,8914.87,1.14224,1.89193,1.78064,0.6193,0.49294,0.53857,0.31646,1.33322,1.73472,1.69976,0.000874,0.000874,0.000874
23,9269.62,1.13847,1.87226,1.77864,0.64463,0.51163,0.55613,0.32218,1.35268,1.70658,1.71203,0.000868,0.000868,0.000868
24,9765.73,1.12883,1.83453,1.76766,0.63093,0.5005,0.55471,0.32821,1.32618,1.69418,1.69501,0.000862,0.000862,0.000862
25,10166,1.12534,1.81659,1.76285,0.63928,0.51927,0.57129,0.33962,1.32979,1.67052,1.69118,0.000856,0.000856,0.000856
26,10586.1,1.11614,1.79627,1.74972,0.65833,0.53099,0.5847,0.34728,1.31135,1.64439,1.67888,0.00085,0.00085,0.00085
27,10993.2,1.11106,1.79036,1.7475,0.66378,0.51906,0.57948,0.34505,1.31518,1.64266,1.6788,0.000844,0.000844,0.000844
28,11395.5,1.10713,1.7704,1.74577,0.66876,0.53387,0.59347,0.35723,1.29485,1.63267,1.67135,0.000838,0.000838,0.000838
29,11805.9,1.10022,1.75063,1.73498,0.66696,0.54078,0.60714,0.36052,1.29972,1.60103,1.65448,0.000832,0.000832,0.000832
30,12202.8,1.09389,1.73324,1.73413,0.67428,0.54936,0.61259,0.36271,1.30315,1.57387,1.6502,0.000826,0.000826,0.000826
31,12624.8,1.10315,1.71058,1.73811,0.67683,0.55822,0.61775,0.36996,1.28724,1.5646,1.64102,0.00082,0.00082,0.00082
32,13027.6,1.09127,1.70149,1.72868,0.70007,0.55797,0.62645,0.37529,1.28316,1.5334,1.64483,0.000814,0.000814,0.000814
33,13466.8,1.0823,1.68256,1.71997,0.70581,0.56323,0.63579,0.38476,1.26753,1.52199,1.62102,0.000808,0.000808,0.000808
34,13846.4,1.08279,1.68478,1.71229,0.6955,0.56936,0.64536,0.38726,1.27018,1.51136,1.62295,0.000802,0.000802,0.000802
35,14282.2,1.0771,1.65456,1.7141,0.70461,0.57069,0.64819,0.39111,1.26563,1.48972,1.6076,0.000796,0.000796,0.000796
36,14675.9,1.07068,1.63103,1.70934,0.72231,0.56918,0.65507,0.39503,1.25892,1.47417,1.60423,0.00079,0.00079,0.00079
37,15103.4,1.06794,1.63331,1.70436,0.71636,0.58611,0.66249,0.40121,1.26292,1.46572,1.61183,0.000784,0.000784,0.000784
38,15495.6,1.06517,1.62086,1.69946,0.7197,0.58016,0.66462,0.40774,1.25185,1.44832,1.60224,0.000778,0.000778,0.000778
39,15927.5,1.05794,1.59227,1.69006,0.71951,0.59309,0.66736,0.41123,1.23628,1.42901,1.58819,0.000772,0.000772,0.000772
40,16319.5,1.06064,1.59499,1.69603,0.7314,0.592,0.67712,0.41418,1.23999,1.41702,1.58693,0.000766,0.000766,0.000766
41,16713.4,1.05447,1.56789,1.68871,0.72228,0.60748,0.68341,0.41495,1.23182,1.40939,1.57864,0.00076,0.00076,0.00076
42,17094.7,1.04929,1.55452,1.68083,0.73687,0.59805,0.68432,0.41849,1.23234,1.39607,1.57855,0.000754,0.000754,0.000754
43,17554.8,1.04781,1.5424,1.67718,0.7421,0.60683,0.68907,0.42333,1.22609,1.38034,1.5729,0.000748,0.000748,0.000748
44,18001.3,1.04437,1.5351,1.6784,0.72697,0.61934,0.69361,0.42787,1.21333,1.36741,1.56475,0.000742,0.000742,0.000742
45,18414.9,1.04099,1.5295,1.6727,0.73762,0.62047,0.69838,0.43144,1.21121,1.35496,1.56229,0.000736,0.000736,0.000736
46,18800.6,1.03727,1.52451,1.66572,0.75055,0.62049,0.70001,0.43407,1.20539,1.34331,1.55626,0.00073,0.00073,0.00073
47,19235.8,1.03292,1.50358,1.66548,0.74517,0.62247,0.70084,0.43827,1.20253,1.33332,1.55243,0.000724,0.000724,0.000724
48,19629.6,1.03123,1.48395,1.66165,0.75322,0.61857,0.7019,0.44132,1.19775,1.32781,1.54827,0.000718,0.000718,0.000718
49,20037,1.03944,1.49578,1.66928,0.75639,0.62834,0.71014,0.44753,1.19056,1.31552,1.53924,0.000712,0.000712,0.000712
50,20429.2,1.02359,1.48571,1.65719,0.7532,0.63414,0.71486,0.44834,1.18942,1.30615,1.53666,0.000706,0.000706,0.000706
51,20847.7,1.01992,1.47022,1.65258,0.75889,0.64115,0.71682,0.45124,1.18638,1.29743,1.5329,0.0007,0.0007,0.0007
52,21330.6,1.01224,1.45306,1.64247,0.75451,0.64089,0.7184,0.45439,1.18249,1.28898,1.52845,0.000694,0.000694,0.000694
53,21758.4,1.02241,1.45905,1.65368,0.75684,0.6435,0.71794,0.45559,1.1828,1.28123,1.52627,0.000688,0.000688,0.000688
54,22175.7,1.00526,1.43317,1.63619,0.75731,0.64735,0.7196,0.45693,1.18028,1.27667,1.52328,0.000682,0.000682,0.000682
55,22570.5,1.00998,1.43971,1.64455,0.75426,0.64749,0.72038,0.45781,1.17896,1.26818,1.52108,0.000676,0.000676,0.000676
56,23048.4,1.00468,1.4247,1.63276,0.75518,0.64975,0.71841,0.45818,1.17617,1.26207,1.51892,0.00067,0.00067,0.00067
57,23435.1,0.99601,1.39208,1.62481,0.76282,0.65054,0.7213,0.45996,1.1737,1.25495,1.51622,0.000664,0.000664,0.000664
58,23889.8,0.99127,1.39731,1.62565,0.76369,0.65265,0.72638,0.46273,1.16966,1.24848,1.51265,0.000658,0.000658,0.000658
59,24342.4,0.99828,1.39182,1.62861,0.76703,0.6496,0.72625,0.46439,1.16474,1.24146,1.5093,0.000652,0.000652,0.000652
60,24754.3,0.98349,1.37024,1.6129,0.7676,0.65246,0.72978,0.46577,1.1615,1.23504,1.5066,0.000646,0.000646,0.000646
61,25206,0.98781,1.35981,1.61667,0.76625,0.65617,0.73078,0.46747,1.15763,1.22971,1.50323,0.00064,0.00064,0.00064
62,25673.5,0.98305,1.36209,1.61405,0.7619,0.66631,0.73045,0.46916,1.15462,1.22347,1.50037,0.000634,0.000634,0.000634
63,26084.8,0.98572,1.36821,1.61635,0.76577,0.66775,0.73278,0.4709,1.15137,1.21785,1.49747,0.000628,0.000628,0.000628
64,26488.8,0.97557,1.34533,1.60083,0.77489,0.66476,0.7333,0.47281,1.14832,1.21224,1.49412,0.000622,0.000622,0.000622
65,26883.8,0.96505,1.32984,1.59639,0.77557,0.66325,0.73251,0.47385,1.1453,1.20701,1.49149,0.000616,0.000616,0.000616
66,27289.3,0.97299,1.33033,1.60329,0.77268,0.66898,0.73399,0.47567,1.14265,1.20226,1.48949,0.00061,0.00061,0.00061
67,27660.8,0.96538,1.31637,1.59371,0.77506,0.66835,0.73499,0.47637,1.14057,1.19704,1.48765,0.000604,0.000604,0.000604
68,28037.3,0.96172,1.2999,1.59065,0.76842,0.67295,0.7357,0.47706,1.13888,1.19209,1.48597,0.000598,0.000598,0.000598
69,28462.1,0.96963,1.3231,1.60078,0.7707,0.6738,0.73728,0.47863,1.13638,1.1878,1.48343,0.000592,0.000592,0.000592
