epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,466.347,1.54005,3.31713,2.19242,0.38216,0.21201,0.13327,0.06753,1.99225,3.43631,2.21698,0.000333157,0.000333157,0.0670174
2,919.462,1.39176,2.81298,2.01055,0.43178,0.27389,0.21099,0.12166,1.62546,2.63916,1.9362,0.000662492,0.000662492,0.0340134
3,1367.87,1.33527,2.61871,1.95031,0.37042,0.2743,0.21242,0.11685,1.59802,2.56189,1.90746,0.000987826,0.000987826,0.00100542
4,1817.18,1.3015,2.46023,1.91361,0.35967,0.32792,0.29016,0.1608,1.58683,2.33999,1.81277,0.000982,0.000982,0.000982
5,2263.48,1.26205,2.30723,1.87381,0.48448,0.33695,0.31405,0.17955,1.56857,2.28666,1.80552,0.000976,0.000976,0.000976
6,2711.33,1.25193,2.22868,1.86119,0.41869,0.34809,0.33692,0.19031,1.54617,2.1207,1.77291,0.00097,0.00097,0.00097
7,3160.56,1.23258,2.14747,1.84183,0.45143,0.4043,0.35848,0.20171,1.51393,2.09576,1.71323,0.000964,0.000964,0.000964
8,3613.4,1.21238,2.08147,1.82013,0.42986,0.41137,0.37424,0.2161,1.49362,2.04161,1.7708,0.000958,0.000958,0.000958
9,4066.17,1.18809,1.99959,1.82096,0.48877,0.42154,0.41365,0.23516,1.47646,1.96075,1.72616,0.000952,0.000952,0.000952
10,4518.73,1.17456,1.96035,1.80454,0.52985,0.42076,0.42823,0.2454,1.49162,1.90626,1.72065,0.000946,0.000946,0.000946
11,4971.34,1.17778,1.90495,1.80314,0.50397,0.46473,0.45265,0.25603,1.46168,1.88902,1.68178,0.00094,0.00094,0.00094
12,5424.07,1.1626,1.85875,1.7892,0.51255,0.465,0.45325,0.26189,1.42453,1.832,1.66885,0.000934,0.000934,0.000934
13,5876.56,1.15141,1.80854,1.77648,0.54877,0.47521,0.48277,0.2731,1.41297,1.78763,1.65691,0.000928,0.000928,0.000928
14,6329.03,1.14414,1.77364,1.76656,0.56843,0.48533,0.49091,0.28288,1.37318,1.76965,1.63563,0.000922,0.000922,0.000922
15,6781.02,1.14049,1.75432,1.76221,0.56696,0.48381,0.49904,0.29185,1.37461,1.73903,1.64057,0.000916,0.000916,0.000916
16,7233.45,1.12219,1.70619,1.75007,0.59831,0.50662,0.5278,0.3017,1.39837,1.68546,1.63022,0.00091,0.00091,0.00091
17,7686.21,1.12301,1.68348,1.74902,0.58991,0.51854,0.54112,0.30465,1.3934,1.69783,1.62269,0.000904,0.000904,0.000904
18,8137.92,1.11273,1.65551,1.73963,0.61637,0.51688,0.55125,0.31421,1.36337,1.63341,1.60898,0.000898,0.000898,0.000898
19,8590.73,1.10624,1.63551,1.73226,0.63151,0.53156,0.5715,0.32839,1.3576,1.60493,1.593,0.000892,0.000892,0.000892
20,9043.09,1.09328,1.58176,1.71169,0.63934,0.54765,0.58636,0.33585,1.34985,1.56202,1.57187,0.000886,0.000886,0.000886
21,9515.34,1.09517,1.56825,1.71655,0.65749,0.53993,0.59103,0.34675,1.32158,1.54352,1.57537,0.00088,0.00088,0.00088
22,9966.66,1.08219,1.54197,1.70421,0.66565,0.55464,0.61222,0.35477,1.30099,1.51815,1.57021,0.000874,0.000874,0.000874
23,10413.3,1.08402,1.54148,1.70151,0.6792,0.54532,0.61274,0.36047,1.30849,1.49203,1.54565,0.000868,0.000868,0.000868
24,10865.6,1.07593,1.49807,1.68787,0.67153,0.57162,0.62728,0.36616,1.30921,1.47447,1.54381,0.000862,0.000862,0.000862
25,11317.8,1.07553,1.48121,1.69175,0.68888,0.58137,0.64256,0.37905,1.27709,1.43956,1.52691,0.000856,0.000856,0.000856
26,11770.1,1.064,1.45982,1.67892,0.68152,0.58846,0.65059,0.38556,1.26932,1.42665,1.52167,0.00085,0.00085,0.00085
27,12221.9,1.04563,1.42581,1.66398,0.68174,0.58609,0.65502,0.39334,1.24892,1.39141,1.51453,0.000844,0.000844,0.000844
28,12674.2,1.05079,1.4133,1.67071,0.702,0.59037,0.65594,0.399,1.23532,1.37314,1.50428,0.000838,0.000838,0.000838
29,13126,1.04226,1.38799,1.65789,0.71686,0.59778,0.67298,0.40599,1.22673,1.35181,1.4899,0.000832,0.000832,0.000832
30,13577.9,1.03705,1.3822,1.65296,0.72027,0.61537,0.6796,0.40895,1.23775,1.33005,1.50265,0.000826,0.000826,0.000826
31,14029.8,1.03002,1.34606,1.64412,0.73659,0.6147,0.68942,0.42071,1.21628,1.31161,1.48514,0.00082,0.00082,0.00082
32,14481.4,1.01801,1.33366,1.63891,0.72182,0.63395,0.69795,0.42643,1.20128,1.29206,1.47191,0.000814,0.000814,0.000814
33,14932.9,1.00644,1.31507,1.62762,0.73257,0.62601,0.70301,0.43234,1.19904,1.26985,1.47456,0.000808,0.000808,0.000808
34,15384.3,1.00674,1.30321,1.6233,0.74225,0.62986,0.70266,0.43728,1.17969,1.25446,1.45665,0.000802,0.000802,0.000802
35,15836.1,0.99407,1.28783,1.61701,0.75149,0.62536,0.70697,0.44067,1.17409,1.23437,1.45671,0.000796,0.000796,0.000796
36,16287.4,0.98877,1.26264,1.60492,0.74491,0.63703,0.7113,0.44651,1.16606,1.22303,1.45351,0.00079,0.00079,0.00079
37,16738.2,0.98323,1.2454,1.60557,0.7486,0.64864,0.7231,0.45563,1.15903,1.20412,1.44886,0.000784,0.000784,0.000784
38,17189,0.97253,1.2301,1.5935,0.76212,0.64182,0.72384,0.45626,1.15101,1.19503,1.43731,0.000778,0.000778,0.000778
39,17640.6,0.96412,1.2141,1.58559,0.76247,0.64659,0.72532,0.45949,1.14802,1.1774,1.43526,0.000772,0.000772,0.000772
40,18091.1,0.95715,1.1955,1.58382,0.75946,0.65839,0.72728,0.46515,1.12322,1.15821,1.42391,0.000766,0.000766,0.000766
41,18542.4,0.95288,1.17431,1.57428,0.75182,0.67619,0.73561,0.47048,1.11058,1.12917,1.41215,0.00076,0.00076,0.00076
42,18993.7,0.94057,1.15864,1.56183,0.73992,0.67661,0.73693,0.4771,1.10034,1.11081,1.3992,0.000754,0.000754,0.000754
43,19445.3,0.93716,1.14568,1.55823,0.75657,0.68071,0.74645,0.48375,1.09325,1.0948,1.39439,0.000748,0.000748,0.000748
44,19895.2,0.9281,1.12797,1.55079,0.76629,0.67658,0.74578,0.48369,1.08628,1.08308,1.38604,0.000742,0.000742,0.000742
45,20343.4,0.92219,1.11715,1.54373,0.76443,0.67977,0.7512,0.48822,1.07871,1.07306,1.3769,0.000736,0.000736,0.000736
46,20793.1,0.92154,1.10109,1.54573,0.7629,0.68518,0.75512,0.49514,1.07107,1.06386,1.36906,0.00073,0.00073,0.00073
47,21240.2,0.90701,1.08996,1.53133,0.76553,0.69175,0.75704,0.49518,1.06422,1.04515,1.36268,0.000724,0.000724,0.000724
48,21689.5,0.89756,1.08031,1.52244,0.76119,0.69995,0.76247,0.50014,1.05953,1.0324,1.35868,0.000718,0.000718,0.000718
49,22136.5,0.89926,1.07122,1.52431,0.76754,0.70481,0.76466,0.50476,1.05209,1.02248,1.35426,0.000712,0.000712,0.000712
50,22586.8,0.89336,1.06005,1.51686,0.77202,0.70887,0.76942,0.50856,1.04393,1.0113,1.34894,0.000706,0.000706,0.000706
51,23034.4,0.89385,1.05217,1.51297,0.76988,0.71089,0.76904,0.51146,1.03775,1.00291,1.34167,0.0007,0.0007,0.0007
52,23484.3,0.88047,1.03162,1.50698,0.76793,0.71332,0.77324,0.51546,1.0288,0.99186,1.33389,0.000694,0.000694,0.000694
53,23930.5,0.87179,1.01946,1.50023,0.76779,0.71683,0.77387,0.51975,1.02468,0.98419,1.33072,0.000688,0.000688,0.000688
54,24379.9,0.87275,1.01543,1.49873,0.77252,0.71568,0.77619,0.52116,1.02346,0.9763,1.33072,0.000682,0.000682,0.000682
55,24825.1,0.86718,1.00335,1.49404,0.762,0.71841,0.77454,0.52169,1.01866,0.97203,1.32731,0.000676,0.000676,0.000676
56,25275.2,0.86287,0.98568,1.48504,0.7648,0.72454,0.77799,0.52347,1.01492,0.96611,1.32348,0.00067,0.00067,0.00067
57,25722.8,0.84665,0.97904,1.47147,0.76556,0.72676,0.77869,0.52622,1.00904,0.95908,1.31765,0.000664,0.000664,0.000664
58,26171,0.84689,0.97195,1.47308,0.77063,0.7223,0.78176,0.52845,1.00393,0.95279,1.3132,0.000658,0.000658,0.000658
59,26617.5,0.83274,0.95021,1.46124,0.77598,0.72463,0.78403,0.53052,1.00016,0.94492,1.30919,0.000652,0.000652,0.000652
60,27063.7,0.83642,0.95136,1.465,0.78076,0.72948,0.7846,0.53334,0.99473,0.93792,1.30383,0.000646,0.000646,0.000646
61,27509.6,0.83065,0.94545,1.45652,0.78022,0.73183,0.78841,0.53476,0.98976,0.93259,1.29924,0.00064,0.00064,0.00064
62,27956.6,0.82052,0.92357,1.44608,0.7756,0.73711,0.7876,0.53831,0.9853,0.92608,1.29472,0.000634,0.000634,0.000634
63,28402,0.81705,0.91984,1.44127,0.77373,0.73804,0.78938,0.54033,0.9815,0.92049,1.29111,0.000628,0.000628,0.000628
64,28848.1,0.81157,0.90405,1.43576,0.77332,0.74,0.78921,0.54206,0.97805,0.91553,1.28777,0.000622,0.000622,0.000622
65,29293.8,0.80823,0.90707,1.43422,0.77999,0.74027,0.79155,0.54382,0.97457,0.90958,1.28456,0.000616,0.000616,0.000616
66,29739.1,0.80245,0.90149,1.42923,0.78035,0.74029,0.79197,0.54584,0.97062,0.90492,1.28077,0.00061,0.00061,0.00061
67,30186,0.79748,0.88709,1.41898,0.78467,0.73986,0.7938,0.54758,0.96746,0.90111,1.27799,0.000604,0.000604,0.000604
68,30631.5,0.79519,0.87701,1.41688,0.7857,0.74353,0.79394,0.54896,0.96394,0.89709,1.27504,0.000598,0.000598,0.000598
69,31079,0.79395,0.87376,1.41767,0.78669,0.74628,0.79521,0.55177,0.96081,0.89225,1.27226,0.000592,0.000592,0.000592
70,31524.9,0.78292,0.86278,1.40797,0.78832,0.74516,0.79533,0.55342,0.95718,0.88772,1.26929,0.000586,0.000586,0.000586
71,31971.8,0.78426,0.8695,1.40675,0.78412,0.74956,0.79494,0.5543,0.95444,0.88383,1.26697,0.00058,0.00058,0.00058
72,32417.7,0.77914,0.86365,1.39892,0.78614,0.75061,0.79679,0.55612,0.9512,0.8791,1.2641,0.000574,0.000574,0.000574
73,32864.4,0.77305,0.84749,1.39747,0.7903,0.74303,0.79658,0.5569,0.9479,0.87472,1.26097,0.000568,0.000568,0.000568
74,33309.9,0.7608,0.83901,1.38768,0.78623,0.74625,0.79713,0.55884,0.94459,0.87098,1.25828,0.000562,0.000562,0.000562
75,33756.4,0.75658,0.83505,1.38168,0.789,0.74224,0.797,0.56014,0.94169,0.86709,1.25563,0.000556,0.000556,0.000556
76,34202.7,0.75895,0.8252,1.38063,0.78526,0.74766,0.79732,0.56097,0.93829,0.86457,1.25231,0.00055,0.00055,0.00055
77,34650.1,0.74893,0.81344,1.37552,0.78729,0.74787,0.79854,0.5625,0.93512,0.86071,1.24956,0.000544,0.000544,0.000544
78,35097.3,0.74906,0.80465,1.37068,0.78655,0.74716,0.79888,0.56361,0.93224,0.85744,1.24699,0.000538,0.000538,0.000538
79,35544.8,0.74663,0.81074,1.36495,0.7915,0.74295,0.79903,0.56465,0.92925,0.85444,1.24411,0.000532,0.000532,0.000532
80,35993.3,0.74286,0.81108,1.36409,0.79215,0.74492,0.80048,0.56685,0.92643,0.85137,1.24176,0.000526,0.000526,0.000526
81,36439.7,0.72994,0.7913,1.35471,0.79648,0.74377,0.80114,0.56831,0.92412,0.84812,1.23964,0.00052,0.00052,0.00052
82,36887.2,0.73079,0.78892,1.35105,0.79856,0.74297,0.80166,0.57018,0.92135,0.84528,1.23708,0.000514,0.000514,0.000514
83,37335.8,0.72304,0.78003,1.34794,0.79827,0.74505,0.80243,0.57074,0.91886,0.84228,1.23469,0.000508,0.000508,0.000508
84,37783.1,0.72855,0.78494,1.35242,0.80146,0.74398,0.80286,0.57246,0.91613,0.83902,1.23202,0.000502,0.000502,0.000502
85,38232.9,0.71498,0.76945,1.34025,0.80056,0.74572,0.80364,0.57412,0.91331,0.83605,1.22926,0.000496,0.000496,0.000496
86,38681.6,0.71537,0.76676,1.3389,0.79937,0.74573,0.80323,0.5748,0.91068,0.83332,1.22671,0.00049,0.00049,0.00049
87,39131.1,0.71108,0.76654,1.33319,0.8,0.74602,0.80341,0.57616,0.90791,0.83028,1.22417,0.000484,0.000484,0.000484
88,39578.8,0.70943,0.75034,1.33123,0.8027,0.7448,0.80372,0.57723,0.9051,0.82739,1.22125,0.000478,0.000478,0.000478
89,40029.6,0.70029,0.73232,1.32127,0.80237,0.75096,0.80559,0.57888,0.90255,0.82427,1.21896,0.000472,0.000472,0.000472
90,40477.2,0.70025,0.7462,1.3237,0.80459,0.74915,0.80685,0.58053,0.90009,0.82211,1.21655,0.000466,0.000466,0.000466
91,40926.4,0.69097,0.7344,1.31278,0.80005,0.75151,0.80633,0.58165,0.89751,0.81908,1.21407,0.00046,0.00046,0.00046
92,41376,0.69384,0.74066,1.31424,0.79934,0.75451,0.80704,0.58326,0.89484,0.81621,1.21124,0.000454,0.000454,0.000454
93,41827.8,0.68572,0.73152,1.31053,0.80444,0.75045,0.80864,0.58458,0.892,0.81332,1.20825,0.000448,0.000448,0.000448
94,42278.3,0.68669,0.72156,1.30789,0.80682,0.74881,0.8096,0.58576,0.88934,0.81056,1.20551,0.000442,0.000442,0.000442
95,42728.4,0.68052,0.72204,1.3028,0.81119,0.75026,0.81099,0.58734,0.88661,0.80781,1.20271,0.000436,0.000436,0.000436
96,43176.2,0.67512,0.71152,1.29896,0.80865,0.7527,0.81164,0.5886,0.88404,0.80464,1.20015,0.00043,0.00043,0.00043
97,43625.7,0.67471,0.71367,1.29559,0.80001,0.76271,0.81187,0.58919,0.88134,0.80178,1.19762,0.000424,0.000424,0.000424
98,44145.8,0.66828,0.70534,1.28959,0.79879,0.76357,0.81272,0.59055,0.87858,0.79892,1.19478,0.000418,0.000418,0.000418
99,44736.2,0.66619,0.69797,1.28988,0.80164,0.76,0.81124,0.59182,0.87581,0.79646,1.19218,0.000412,0.000412,0.000412
100,45327.5,0.66183,0.6915,1.28528,0.79744,0.76291,0.81202,0.59326,0.87292,0.79398,1.18921,0.000406,0.000406,0.000406
101,45917.1,0.65866,0.69699,1.2853,0.79786,0.76755,0.81308,0.59437,0.86982,0.79154,1.18628,0.0004,0.0004,0.0004
102,46510.5,0.65532,0.68534,1.28007,0.79872,0.76731,0.81288,0.59607,0.86727,0.78913,1.18394,0.000394,0.000394,0.000394
