epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.926,2.4388,4.07906,3.06731,0.62499,0.15804,0.1273,0.0755,1.99842,3.27526,2.48892,0.000332894,0.000332894,0.0670435
2,308.649,1.75746,3.25869,2.38141,0.35867,0.1775,0.12216,0.06874,1.84164,3.21589,2.45302,0.00066223,0.00066223,0.0340395
3,450.229,1.53219,2.93208,2.16295,0.35546,0.21092,0.18378,0.10294,1.84895,2.85017,2.19507,0.000987566,0.000987566,0.00103154
4,592.133,1.43466,2.75484,2.06097,0.5028,0.2468,0.21123,0.11834,1.71518,2.71917,2.03849,0.000982,0.000982,0.000982
5,734.08,1.38659,2.59202,2.01114,0.42741,0.27042,0.25049,0.14739,1.62682,2.58984,2.06346,0.000976,0.000976,0.000976
6,875.928,1.3217,2.46266,1.95602,0.36777,0.30522,0.25844,0.14821,1.55365,2.43394,1.96452,0.00097,0.00097,0.00097
7,1019.4,1.31298,2.35014,1.93567,0.44245,0.34451,0.31702,0.18216,1.51243,2.22058,1.94361,0.000964,0.000964,0.000964
8,1162.89,1.2878,2.26725,1.91219,0.41862,0.35734,0.33428,0.19209,1.52051,2.18638,1.89219,0.000958,0.000958,0.000958
9,1306.55,1.26173,2.19005,1.88164,0.40438,0.36838,0.34806,0.20445,1.4733,2.12561,1.84503,0.000952,0.000952,0.000952
10,1449.53,1.25382,2.13243,1.87709,0.45657,0.37746,0.3656,0.21489,1.46359,2.04213,1.82242,0.000946,0.000946,0.000946
11,1591.75,1.23434,2.08908,1.85722,0.48127,0.38544,0.36733,0.2043,1.47256,2.13073,1.83889,0.00094,0.00094,0.00094
12,1733.47,1.21761,2.04321,1.83926,0.49012,0.41967,0.41287,0.23456,1.4489,1.9971,1.81148,0.000934,0.000934,0.000934
13,1876.44,1.21192,1.99594,1.83417,0.50649,0.40087,0.40175,0.22794,1.44765,2.00424,1.77227,0.000928,0.000928,0.000928
14,2018.37,1.19973,1.95943,1.82091,0.49565,0.42797,0.43547,0.25076,1.43597,1.91497,1.79321,0.000922,0.000922,0.000922
15,2160.28,1.19535,1.92318,1.81557,0.53688,0.4428,0.45391,0.26129,1.4197,1.88602,1.78045,0.000916,0.000916,0.000916
16,2302.21,1.18688,1.89344,1.80455,0.55388,0.46479,0.47865,0.27134,1.42589,1.85175,1.76455,0.00091,0.00091,0.00091
17,2444.25,1.16511,1.84276,1.7881,0.60883,0.45761,0.49904,0.285,1.40162,1.80276,1.76104,0.000904,0.000904,0.000904
18,2586.08,1.1737,1.82333,1.79176,0.55804,0.47934,0.48757,0.27893,1.41447,1.81352,1.73577,0.000898,0.000898,0.000898
19,2728.15,1.15638,1.77723,1.77793,0.57824,0.50087,0.51429,0.29472,1.38809,1.7405,1.71586,0.000892,0.000892,0.000892
20,2869.47,1.14751,1.75111,1.77452,0.61224,0.47457,0.52271,0.30228,1.38738,1.72996,1.68873,0.000886,0.000886,0.000886
21,3011.62,1.14226,1.73249,1.76338,0.5815,0.48322,0.52228,0.30218,1.37341,1.70258,1.69683,0.00088,0.00088,0.00088
22,3154.21,1.13429,1.69963,1.7633,0.62154,0.50573,0.55216,0.32291,1.37215,1.65372,1.69028,0.000874,0.000874,0.000874
23,3296.39,1.12725,1.69459,1.74839,0.63663,0.51019,0.56198,0.3262,1.35549,1.64003,1.66847,0.000868,0.000868,0.000868
24,3438.67,1.1201,1.65561,1.74077,0.64705,0.52385,0.56371,0.33457,1.33243,1.6189,1.67486,0.000862,0.000862,0.000862
25,3580.86,1.11028,1.63586,1.73694,0.64719,0.54471,0.57888,0.34416,1.32591,1.58532,1.66586,0.000856,0.000856,0.000856
26,3722.64,1.10009,1.60676,1.72776,0.65742,0.5451,0.59317,0.3514,1.33278,1.57269,1.64888,0.00085,0.00085,0.00085
27,3864.69,1.09767,1.58003,1.7203,0.67478,0.54081,0.6064,0.35545,1.31691,1.55874,1.63605,0.000844,0.000844,0.000844
28,4007.11,1.09343,1.56238,1.71635,0.67156,0.5531,0.60932,0.3657,1.30656,1.53098,1.63043,0.000838,0.000838,0.000838
29,154.054,1.08682,1.54441,1.71101,0.66469,0.5605,0.61898,0.36774,1.31028,1.51319,1.62505,0.000832,0.000832,0.000832
30,295.958,1.083,1.52238,1.7088,0.68158,0.58086,0.63126,0.37714,1.29875,1.48588,1.61416,0.000826,0.000826,0.000826
31,438.452,1.0773,1.49788,1.70085,0.70151,0.56267,0.63359,0.38627,1.28043,1.46332,1.60039,0.00082,0.00082,0.00082
32,580.086,1.05913,1.48684,1.69073,0.69176,0.57689,0.64323,0.39159,1.28081,1.44377,1.59549,0.000814,0.000814,0.000814
33,721.532,1.06288,1.47022,1.69055,0.68656,0.59308,0.64805,0.39968,1.26896,1.42556,1.59755,0.000808,0.000808,0.000808
34,863.358,1.04008,1.44431,1.67384,0.69453,0.58807,0.64998,0.40046,1.26922,1.40802,1.58936,0.000802,0.000802,0.000802
35,1005.5,1.05288,1.43331,1.67828,0.71454,0.59111,0.65808,0.40789,1.25186,1.39431,1.57782,0.000796,0.000796,0.000796
36,1147.24,1.04531,1.41278,1.67529,0.72807,0.59881,0.66984,0.41914,1.24312,1.3718,1.56697,0.00079,0.00079,0.00079
37,1289.12,1.03961,1.39359,1.66458,0.73319,0.59593,0.67375,0.42181,1.2479,1.36429,1.56897,0.000784,0.000784,0.000784
38,1431.95,1.04061,1.38582,1.66968,0.71007,0.61581,0.67621,0.42476,1.23659,1.34636,1.56058,0.000778,0.000778,0.000778
39,1573.57,1.02458,1.36898,1.65934,0.7099,0.62102,0.68385,0.4301,1.22481,1.3304,1.55453,0.000772,0.000772,0.000772
40,1715.16,1.01159,1.34051,1.64056,0.73359,0.61529,0.68727,0.434,1.22354,1.31019,1.54985,0.000766,0.000766,0.000766
41,1856.74,1.01336,1.33165,1.64276,0.72272,0.62642,0.69433,0.43579,1.22282,1.30129,1.54762,0.00076,0.00076,0.00076
42,1998.52,1.00476,1.31096,1.63411,0.71265,0.62786,0.69012,0.44018,1.21029,1.28474,1.53936,0.000754,0.000754,0.000754
43,2139.78,1.00588,1.30842,1.6317,0.72695,0.62338,0.6938,0.44442,1.19949,1.26848,1.52876,0.000748,0.000748,0.000748
44,2282.12,0.99669,1.29296,1.62238,0.7344,0.63112,0.69991,0.45291,1.19029,1.255,1.52199,0.000742,0.000742,0.000742
45,2424.26,0.97716,1.26478,1.60885,0.73853,0.64724,0.70615,0.45544,1.18326,1.24103,1.5146,0.000736,0.000736,0.000736
46,2565.94,0.98601,1.25613,1.6136,0.74152,0.64753,0.70841,0.45643,1.17905,1.23131,1.51197,0.00073,0.00073,0.00073
47,2707.28,0.97327,1.24682,1.60223,0.74497,0.64954,0.71686,0.46339,1.17522,1.2211,1.50767,0.000724,0.000724,0.000724
48,2849.17,0.96552,1.22453,1.59729,0.75718,0.64303,0.71842,0.46581,1.17333,1.21003,1.50444,0.000718,0.000718,0.000718
49,2990.7,0.96955,1.22496,1.5986,0.74723,0.65536,0.72012,0.46801,1.16729,1.203,1.49809,0.000712,0.000712,0.000712
50,3132.72,0.9618,1.19886,1.59795,0.75455,0.65267,0.72351,0.47231,1.15979,1.19131,1.49249,0.000706,0.000706,0.000706
51,3274.2,0.95717,1.20367,1.58555,0.74879,0.65367,0.72539,0.47596,1.15714,1.17815,1.48967,0.0007,0.0007,0.0007
52,3416.2,0.94998,1.18981,1.58034,0.75374,0.66039,0.72961,0.47937,1.15197,1.16852,1.48712,0.000694,0.000694,0.000694
53,3558.06,0.93798,1.16028,1.57114,0.74933,0.6662,0.73354,0.48252,1.14568,1.15763,1.48367,0.000688,0.000688,0.000688
54,3699.61,0.93343,1.15472,1.56521,0.74496,0.67045,0.73512,0.48639,1.14076,1.14794,1.47974,0.000682,0.000682,0.000682
55,3841.87,0.93166,1.14207,1.56063,0.7642,0.66142,0.74057,0.48992,1.13746,1.1398,1.47612,0.000676,0.000676,0.000676
56,3984.33,0.92765,1.1272,1.55766,0.75745,0.67029,0.74149,0.49141,1.13225,1.13276,1.47201,0.00067,0.00067,0.00067
57,4125.49,0.92212,1.12866,1.55542,0.75454,0.67987,0.74422,0.49504,1.12825,1.12508,1.46756,0.000664,0.000664,0.000664
58,4267.14,0.92251,1.11767,1.5516,0.74986,0.68599,0.74574,0.49703,1.12492,1.1167,1.46329,0.000658,0.000658,0.000658
59,4409.2,0.9217,1.11245,1.54981,0.75064,0.68487,0.74659,0.49865,1.12073,1.10849,1.45997,0.000652,0.000652,0.000652
60,4551.01,0.91636,1.09966,1.54462,0.75221,0.68666,0.7485,0.50079,1.1161,1.10053,1.45564,0.000646,0.000646,0.000646
61,4693.16,0.90195,1.08768,1.53498,0.755,0.68515,0.74927,0.50341,1.11178,1.09493,1.4517,0.00064,0.00064,0.00064
62,4834.74,0.90391,1.08446,1.53775,0.74953,0.69115,0.75096,0.50581,1.10853,1.08868,1.44842,0.000634,0.000634,0.000634
63,4976.36,0.90054,1.07416,1.53057,0.75712,0.68823,0.75301,0.50777,1.10513,1.08281,1.44493,0.000628,0.000628,0.000628
64,5118.51,0.89458,1.06111,1.52312,0.76576,0.68581,0.75483,0.50968,1.10263,1.07686,1.4425,0.000622,0.000622,0.000622
65,5260.53,0.88588,1.05807,1.5196,0.76523,0.6872,0.75626,0.51099,1.09946,1.0709,1.43951,0.000616,0.000616,0.000616
66,5402.53,0.88538,1.04726,1.51475,0.76812,0.69112,0.75782,0.51252,1.09634,1.06536,1.43647,0.00061,0.00061,0.00061
67,5544.54,0.87531,1.02582,1.50992,0.76777,0.69312,0.75818,0.5137,1.09404,1.06012,1.43358,0.000604,0.000604,0.000604
68,5686.39,0.86939,1.0278,1.49908,0.77109,0.69396,0.75948,0.51504,1.09174,1.05461,1.43133,0.000598,0.000598,0.000598
69,5827.96,0.86548,1.01895,1.49914,0.77236,0.69924,0.76265,0.51622,1.08869,1.04968,1.42858,0.000592,0.000592,0.000592
70,5970.38,0.86486,1.00092,1.49398,0.7748,0.70004,0.76303,0.51747,1.08624,1.04499,1.42602,0.000586,0.000586,0.000586
71,6111.66,0.85427,0.99902,1.4856,0.77326,0.69973,0.76311,0.51818,1.08347,1.04059,1.42369,0.00058,0.00058,0.00058
72,6253.61,0.85647,0.98806,1.48484,0.77153,0.69844,0.76392,0.51912,1.08071,1.03643,1.42134,0.000574,0.000574,0.000574
73,6395.82,0.8438,0.98299,1.4767,0.77944,0.69662,0.76471,0.5209,1.07779,1.03204,1.41917,0.000568,0.000568,0.000568
74,6537.56,0.8447,0.97534,1.47603,0.7784,0.69818,0.76585,0.52259,1.07524,1.02847,1.41716,0.000562,0.000562,0.000562
75,6679.37,0.83473,0.96441,1.47457,0.77637,0.70407,0.76703,0.52454,1.07298,1.02444,1.41519,0.000556,0.000556,0.000556
76,6821.3,0.83546,0.95445,1.46921,0.78111,0.70095,0.76785,0.52556,1.07107,1.02054,1.41353,0.00055,0.00055,0.00055
77,6962.89,0.83415,0.95294,1.46486,0.78286,0.7024,0.76941,0.52706,1.06859,1.01684,1.41156,0.000544,0.000544,0.000544
78,7104.71,0.82505,0.93754,1.45905,0.78286,0.70198,0.7702,0.52844,1.06573,1.01315,1.40936,0.000538,0.000538,0.000538
79,7246.9,0.81642,0.9231,1.4491,0.78213,0.70197,0.76946,0.52951,1.06332,1.00895,1.40727,0.000532,0.000532,0.000532
80,7388.05,0.81774,0.92808,1.44615,0.78146,0.70267,0.76941,0.53088,1.06092,1.00528,1.40536,0.000526,0.000526,0.000526
81,7529.85,0.8099,0.93257,1.44385,0.78567,0.70284,0.7706,0.5325,1.05834,1.00125,1.40335,0.00052,0.00052,0.00052
82,7671.55,0.81003,0.90653,1.4425,0.79027,0.70449,0.77257,0.53374,1.05578,0.99743,1.40111,0.000514,0.000514,0.000514
83,7813.65,0.80521,0.90993,1.44204,0.7897,0.70564,0.77398,0.5354,1.05347,0.99402,1.39896,0.000508,0.000508,0.000508
84,7955.72,0.79577,0.90089,1.43045,0.78945,0.70467,0.77507,0.53621,1.05142,0.99026,1.39721,0.000502,0.000502,0.000502
85,8097.22,0.79358,0.89414,1.43025,0.7904,0.70564,0.77566,0.53789,1.04892,0.98694,1.39512,0.000496,0.000496,0.000496
86,8239.3,0.7869,0.88856,1.42102,0.7911,0.70634,0.77639,0.53922,1.04639,0.98296,1.39289,0.00049,0.00049,0.00049
87,8380.93,0.77985,0.8786,1.41765,0.79141,0.707,0.77673,0.54027,1.0441,0.97905,1.39114,0.000484,0.000484,0.000484
88,8522.98,0.7833,0.87653,1.41546,0.79379,0.7093,0.77813,0.54147,1.04171,0.97536,1.3891,0.000478,0.000478,0.000478
89,8665.25,0.78244,0.86852,1.41496,0.79095,0.70998,0.77872,0.54259,1.03929,0.97176,1.38697,0.000472,0.000472,0.000472
90,8806.94,0.77837,0.86631,1.40714,0.78942,0.71179,0.7798,0.54364,1.03693,0.96798,1.38536,0.000466,0.000466,0.000466
91,8949.03,0.77009,0.85233,1.40363,0.79053,0.71359,0.78108,0.5456,1.03461,0.96439,1.3834,0.00046,0.00046,0.00046
92,9091.53,0.7726,0.86411,1.40506,0.78984,0.71538,0.78184,0.54685,1.03197,0.96029,1.38123,0.000454,0.000454,0.000454
93,9233.66,0.76833,0.85055,1.39982,0.78844,0.7179,0.78233,0.5478,1.02936,0.95673,1.37908,0.000448,0.000448,0.000448
94,9375.57,0.75911,0.84243,1.38988,0.78732,0.71963,0.78315,0.54976,1.02709,0.95335,1.37717,0.000442,0.000442,0.000442
95,9516.9,0.75497,0.83298,1.38838,0.78599,0.71986,0.78388,0.55077,1.02446,0.9501,1.37488,0.000436,0.000436,0.000436
96,9658.45,0.74896,0.82348,1.38381,0.79069,0.71952,0.78499,0.55192,1.02214,0.94601,1.37296,0.00043,0.00043,0.00043
97,9799.93,0.75026,0.83083,1.38118,0.7892,0.72273,0.78632,0.55353,1.01964,0.9424,1.37092,0.000424,0.000424,0.000424
98,9941.81,0.74982,0.83047,1.38174,0.78559,0.72467,0.7869,0.55437,1.01696,0.93863,1.36885,0.000418,0.000418,0.000418
99,10083.1,0.74409,0.814,1.38021,0.78384,0.72656,0.78802,0.55599,1.01475,0.93503,1.36717,0.000412,0.000412,0.000412
100,10225,0.73704,0.80864,1.3742,0.78847,0.72431,0.78863,0.55673,1.01225,0.93155,1.36504,0.000406,0.000406,0.000406
101,10366.7,0.73848,0.80945,1.36662,0.7895,0.7266,0.78971,0.55788,1.00926,0.92822,1.36266,0.0004,0.0004,0.0004
102,10507.5,0.73149,0.79901,1.364,0.78821,0.7282,0.7898,0.559,1.00631,0.9243,1.36009,0.000394,0.000394,0.000394
103,10649.2,0.73302,0.79341,1.36297,0.79066,0.72864,0.79064,0.5603,1.00385,0.92049,1.3583,0.000388,0.000388,0.000388
104,10791.2,0.7241,0.78954,1.35549,0.79531,0.72486,0.79118,0.56159,1.00128,0.91694,1.35597,0.000382,0.000382,0.000382
105,10932.8,0.71971,0.79012,1.3568,0.79793,0.7257,0.79217,0.56329,0.99865,0.91381,1.35385,0.000376,0.000376,0.000376
106,11074.6,0.72431,0.7817,1.35189,0.79302,0.73097,0.7928,0.56484,0.99588,0.91013,1.35167,0.00037,0.00037,0.00037
107,11216.5,0.71664,0.76814,1.35114,0.79039,0.73214,0.79315,0.56568,0.99325,0.90681,1.34927,0.000364,0.000364,0.000364
108,11358.3,0.71707,0.77697,1.3463,0.79517,0.73391,0.79469,0.56705,0.9901,0.90305,1.34661,0.000358,0.000358,0.000358
