epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,801.596,2.36718,4.05911,2.98659,0.35884,0.1853,0.11772,0.06763,1.82531,3.35795,2.41798,0.000333157,0.000333157,0.0670174
2,1622.16,1.66845,3.28055,2.30577,0.51817,0.21351,0.14269,0.08392,1.6729,2.98979,2.18521,0.000662492,0.000662492,0.0340134
3,2426.81,1.47987,3.00821,2.12079,0.31784,0.21323,0.15242,0.09544,1.60726,2.87008,2.02292,0.000987826,0.000987826,0.00100542
4,3218.86,1.40038,2.82851,2.04824,0.41327,0.26484,0.22233,0.14554,1.53026,2.61074,1.98555,0.000982,0.000982,0.000982
5,4057.02,1.34896,2.67287,1.99028,0.44119,0.26456,0.25521,0.15852,1.5552,2.52657,1.94198,0.000976,0.000976,0.000976
6,4859.49,1.31659,2.56545,1.94964,0.34701,0.30544,0.26963,0.16577,1.50967,2.44174,1.93266,0.00097,0.00097,0.00097
7,5661.81,1.29649,2.47952,1.93312,0.40483,0.32898,0.29559,0.1808,1.48245,2.28735,1.85515,0.000964,0.000964,0.000964
8,6475.29,1.28483,2.40091,1.91508,0.39722,0.32246,0.30927,0.19419,1.45292,2.24537,1.83457,0.000958,0.000958,0.000958
9,7290.41,1.26246,2.33649,1.89691,0.37683,0.35114,0.31903,0.19856,1.45273,2.20556,1.82325,0.000952,0.000952,0.000952
10,8120.5,1.25872,2.28061,1.88851,0.3729,0.37155,0.31812,0.19509,1.45355,2.16757,1.82004,0.000946,0.000946,0.000946
11,8923.05,1.24095,2.22613,1.8726,0.45744,0.37842,0.35728,0.21756,1.4425,2.08916,1.80347,0.00094,0.00094,0.00094
12,9763.66,1.22864,2.17859,1.85558,0.48803,0.37553,0.36685,0.21739,1.43072,2.08201,1.79063,0.000934,0.000934,0.000934
13,10584.7,1.2263,2.12771,1.85342,0.4611,0.41801,0.39541,0.23402,1.41893,1.9975,1.76598,0.000928,0.000928,0.000928
14,11409.9,1.208,2.08671,1.84285,0.49644,0.39596,0.39909,0.23872,1.43511,1.98503,1.76918,0.000922,0.000922,0.000922
