无人机编号,累计时间_min,剩余续航_min,剩余药量_L,事件
UAV-1,0.0,25.0,30.0,起飞
UAV-1,0.4906,24.5094,30.0,飞行-区域间
UAV-1,0.7543,24.2457,29.7894,覆盖喷洒段
UAV-1,0.8118,24.1882,29.7435,覆盖连接段
UAV-1,1.1767,23.8233,29.4521,覆盖喷洒段
UAV-1,1.204,23.796,29.4302,覆盖连接段
UAV-1,1.6048,23.3952,29.1101,覆盖喷洒段
UAV-1,2.0583,22.9417,28.748,覆盖连接段
UAV-1,2.0701,22.9299,28.7385,覆盖喷洒段
UAV-1,2.1385,22.8615,28.6839,覆盖连接段
UAV-1,2.5624,22.4376,28.3453,覆盖喷洒段
UAV-1,3.0389,21.9611,27.9647,覆盖连接段
UAV-1,3.0777,21.9223,27.9338,覆盖喷洒段
UAV-1,3.173,21.827,27.8577,覆盖连接段
UAV-1,3.6143,21.3857,27.5052,覆盖喷洒段
UAV-1,4.1083,20.8917,27.1107,覆盖连接段
UAV-1,4.1696,20.8304,27.0617,覆盖喷洒段
UAV-1,4.2875,20.7125,26.9675,覆盖连接段
UAV-1,4.7421,20.2579,26.6045,覆盖喷洒段
UAV-1,5.2492,19.7508,26.1995,覆盖连接段
UAV-1,5.3296,19.6704,26.1353,覆盖喷洒段
UAV-1,5.4666,19.5334,26.0259,覆盖连接段
UAV-1,5.9308,19.0692,25.6551,覆盖喷洒段
UAV-1,6.4475,18.5525,25.2424,覆盖连接段
UAV-1,6.544,18.456,25.1654,覆盖喷洒段
UAV-1,6.697,18.303,25.0431,覆盖连接段
UAV-1,7.1678,17.8322,24.6672,覆盖喷洒段
UAV-1,7.6911,17.3089,24.2492,覆盖连接段
UAV-1,7.8009,17.1991,24.1616,覆盖喷洒段
UAV-1,7.9672,17.0328,24.0287,覆盖连接段
UAV-1,8.4418,16.5582,23.6496,覆盖喷洒段
UAV-1,8.969,16.031,23.2286,覆盖连接段
UAV-1,9.0896,15.9104,23.1323,覆盖喷洒段
UAV-1,9.2667,15.7333,22.9908,覆盖连接段
UAV-1,9.7427,15.2573,22.6106,覆盖喷洒段
UAV-1,10.2713,14.7287,22.1885,覆盖连接段
UAV-1,10.4003,14.5997,22.0854,覆盖喷洒段
UAV-1,10.5859,14.4141,21.9372,覆盖连接段
UAV-1,11.0609,13.9391,21.5578,覆盖喷洒段
UAV-1,11.5885,13.4115,21.1365,覆盖连接段
UAV-1,11.7237,13.2763,21.0285,覆盖喷洒段
UAV-1,11.9154,13.0846,20.8754,覆盖连接段
UAV-1,12.3872,12.6128,20.4986,覆盖喷洒段
UAV-1,12.9115,12.0885,20.0799,覆盖连接段
UAV-1,13.0506,11.9494,19.9688,覆盖喷洒段
UAV-1,13.2462,11.7538,19.8125,覆盖连接段
UAV-1,13.7124,11.2876,19.4402,覆盖喷洒段
UAV-1,14.2312,10.7688,19.0259,覆盖连接段
UAV-1,14.3719,10.6281,18.9135,覆盖喷洒段
UAV-1,14.5691,10.4309,18.756,覆盖连接段
UAV-1,15.0276,9.9724,18.3898,覆盖喷洒段
UAV-1,15.5386,9.4614,17.9817,覆盖连接段
UAV-1,15.6786,9.3214,17.8699,覆盖喷洒段
UAV-1,15.8752,9.1248,17.7129,覆盖连接段
UAV-1,16.3234,8.6766,17.3549,覆盖喷洒段
UAV-1,16.8243,8.1757,16.9549,覆盖连接段
UAV-1,16.9611,8.0389,16.8456,覆盖喷洒段
UAV-1,17.1544,7.8456,16.6912,覆盖连接段
UAV-1,17.5901,7.4099,16.3432,覆盖喷洒段
UAV-1,18.0784,6.9216,15.9532,覆盖连接段
UAV-1,18.2094,6.7906,15.8486,覆盖喷洒段
UAV-1,18.3969,6.6031,15.6988,覆盖连接段
UAV-1,18.8174,6.1826,15.3631,覆盖喷洒段
UAV-1,19.2905,5.7095,14.9852,覆盖连接段
UAV-1,19.4127,5.5873,14.8876,覆盖喷洒段
UAV-1,19.5915,5.4085,14.7448,覆盖连接段
UAV-1,19.9937,5.0063,14.4235,覆盖喷洒段
UAV-1,20.4486,4.5514,14.0602,覆盖连接段
UAV-1,20.5587,4.4413,13.9723,覆盖喷洒段
UAV-1,20.7254,4.2746,13.8392,覆盖连接段
UAV-1,21.1061,3.8939,13.5351,覆盖喷洒段
UAV-1,21.6122,3.3878,13.1309,覆盖连接段
UAV-1,21.6332,3.3668,13.1141,覆盖喷洒段
UAV-1,21.7969,3.2031,12.9834,覆盖连接段
UAV-1,22.0,3.0,12.8212,电量不足
UAV-1,22.4587,25.0,30.0,道路补给
UAV-1,23.0562,24.4025,29.8892,覆盖喷洒段
UAV-1,23.0939,24.3648,29.859,覆盖连接段
UAV-1,23.3824,24.0763,29.6286,覆盖喷洒段
UAV-1,23.421,24.0377,29.5978,覆盖连接段
UAV-1,23.6488,23.8099,29.4158,覆盖喷洒段
UAV-1,23.7017,23.757,29.3736,覆盖连接段
UAV-1,23.8569,23.6018,29.2497,覆盖喷洒段
UAV-1,23.8955,23.5632,29.2188,覆盖连接段
UAV-1,23.9456,23.5131,29.1788,覆盖喷洒段
UAV-1,24.5252,22.9335,29.1788,飞行-区域间
UAV-1,24.6329,22.8258,29.0777,覆盖喷洒段
UAV-1,24.6626,22.7961,29.0497,覆盖连接段
UAV-1,24.7938,22.6649,28.9266,覆盖喷洒段
UAV-1,24.8211,22.6376,28.9009,覆盖连接段
UAV-1,24.9508,22.5079,28.779,覆盖喷洒段
UAV-1,24.9814,22.4773,28.7503,覆盖连接段
UAV-1,25.0838,22.3749,28.6541,覆盖喷洒段
UAV-1,25.646,21.8127,28.6541,飞行-区域间
UAV-1,25.8526,21.606,28.3421,覆盖喷洒段
UAV-1,25.8991,21.5596,28.2719,覆盖连接段
UAV-1,26.181,21.2777,27.8463,覆盖喷洒段
UAV-1,26.2181,21.2406,27.7903,覆盖连接段
UAV-1,26.55,20.9087,27.2892,覆盖喷洒段
UAV-1,26.5826,20.8761,27.24,覆盖连接段
UAV-1,26.95,20.5087,26.6853,覆盖喷洒段
UAV-1,26.98,20.4787,26.64,覆盖连接段
UAV-1,27.3721,20.0866,26.0479,覆盖喷洒段
UAV-1,27.4006,20.0581,26.0049,覆盖连接段
UAV-1,27.8088,19.6499,25.3886,覆盖喷洒段
UAV-1,27.8364,19.6223,25.3468,覆盖连接段
UAV-1,28.2529,19.2058,24.718,覆盖喷洒段
UAV-1,28.2802,19.1785,24.6767,覆盖连接段
UAV-1,28.6977,18.761,24.0463,覆盖喷洒段
UAV-1,28.7252,18.7335,24.0048,覆盖连接段
UAV-1,29.1366,18.3221,23.3837,覆盖喷洒段
UAV-1,29.1648,18.2939,23.3412,覆盖连接段
UAV-1,29.5624,17.8963,22.7407,覆盖喷洒段
UAV-1,29.5919,17.8668,22.6962,覆盖连接段
UAV-1,29.9675,17.4912,22.1291,覆盖喷洒段
UAV-1,29.9992,17.4595,22.0813,覆盖连接段
UAV-1,30.3427,17.116,21.5626,覆盖喷洒段
UAV-1,30.3782,17.0805,21.509,覆盖连接段
UAV-1,30.6766,16.7821,21.0585,覆盖喷洒段
UAV-1,30.7194,16.7393,20.9938,覆盖连接段
UAV-1,30.9518,16.5068,20.6429,覆盖喷洒段
UAV-1,31.0169,16.4418,20.5446,覆盖连接段
UAV-1,31.1312,16.3275,20.372,覆盖喷洒段
UAV-1,31.7072,15.7515,20.372,飞行-区域间
UAV-1,31.9735,15.4852,20.142,覆盖喷洒段
UAV-1,32.0316,15.4271,20.0919,覆盖连接段
UAV-1,32.4002,15.0585,19.7735,覆盖喷洒段
UAV-1,32.4457,15.013,19.7342,覆盖连接段
UAV-1,32.8871,14.5716,19.3529,覆盖喷洒段
UAV-1,32.9263,14.5323,19.319,覆盖连接段
UAV-1,33.4242,14.0345,18.889,覆盖喷洒段
UAV-1,33.4596,13.9991,18.8584,覆盖连接段
UAV-1,34.0026,13.4561,18.3894,覆盖喷洒段
UAV-1,34.0355,13.4232,18.361,覆盖连接段
UAV-1,34.6151,12.8436,17.8604,覆盖喷洒段
UAV-1,34.7709,12.6878,17.7259,覆盖连接段
UAV-1,35.2118,12.2469,17.3451,覆盖喷洒段
UAV-1,35.6791,11.7796,16.9414,覆盖连接段
UAV-1,35.7823,11.6764,16.8523,覆盖喷洒段
UAV-1,35.8565,11.6022,16.7882,覆盖连接段
UAV-1,35.8769,11.5818,16.7706,覆盖喷洒段
UAV-1,36.52,10.9387,16.2151,覆盖连接段
UAV-1,37.0989,10.3598,15.7151,覆盖喷洒段
