线段编号,无人机编号,关联任务,线段类型,起点X_m,起点Y_m,终点X_m,终点Y_m,线段长度_m,速度_m_s,单位路径药量_L_m,开始时间_min,结束时间_min,起始续航_min,结束续航_min,起始药量_L,结束药量_L
UAV-1-L001,UAV-1,D22,飞行-区域间,500.0,465.28,587.52,311.87,176.62,6.0,0.0,0.0,0.4906,25.0,24.5094,30.0,30.0
UAV-1-L002,UAV-1,D22,覆盖喷洒段,587.52,311.87,630.54,331.93,47.47,3.0,0.004437,0.4906,0.7543,24.5094,24.2457,30.0,29.7894
UAV-1-L003,UAV-1,D22,覆盖连接段,630.54,331.93,636.71,340.23,10.35,3.0,0.004437,0.7543,0.8118,24.2457,24.1882,29.7894,29.7435
UAV-1-L004,UAV-1,D22,覆盖喷洒段,636.71,340.23,577.19,312.48,65.67,3.0,0.004437,0.8118,1.1767,24.1882,23.8233,29.7435,29.4521
UAV-1-L005,UAV-1,D22,覆盖连接段,577.19,312.48,575.11,316.94,4.92,3.0,0.004437,1.1767,1.204,23.8233,23.796,29.4521,29.4302
UAV-1-L006,UAV-1,D22,覆盖喷洒段,575.11,316.94,640.49,347.42,72.14,3.0,0.004437,1.204,1.6048,23.796,23.3952,29.4302,29.1101
UAV-1-L007,UAV-1,D22,覆盖连接段,640.49,347.42,564.57,317.45,81.62,3.0,0.004437,1.6048,2.0583,23.3952,22.9417,29.1101,28.748
UAV-1-L008,UAV-1,D22,覆盖喷洒段,564.57,317.45,562.63,316.55,2.13,3.0,0.004437,2.0583,2.0701,22.9417,22.9299,28.748,28.7385
UAV-1-L009,UAV-1,D22,覆盖连接段,562.63,316.55,573.8,321.75,12.32,3.0,0.004437,2.0701,2.1385,22.9299,22.8615,28.7385,28.6839
UAV-1-L010,UAV-1,D22,覆盖喷洒段,573.8,321.75,642.95,354.0,76.3,3.0,0.004437,2.1385,2.5624,22.8615,22.4376,28.6839,28.3453
