¹Û²âÄê·Ý,±ê×¼ÖÜ,º¦ÇéÊýÖµ,×î¸ßÎÂ¶È(¡ãC),×îµÍÎÂ¶È(¡ãC),×î¸ßÊª¶È(%),×îµÍÊª¶È(%),½µÓêÁ¿(mm),·çËÙ(km/h),ÈÕÕÕÊ±Êý(hrs),Õô·¢Á¿(mm),º¦ÇéÀàÐÍ
2013,1,0,27.9,14.8,94.7,51.3,0,3.1,8.7,2.7,ºÖ°ß²¡
2013,2,0,27.2,15,93.9,53.1,0,2.1,8.7,2.4,ºÖ°ß²¡
2013,3,0,28.7,18.3,94.1,56.7,0.6,4.8,6.7,2.8,ºÖ°ß²¡
2013,4,0,25.3,16.4,90.9,57.4,0.3,6.5,5.3,3,ºÖ°ß²¡
2013,5,0,28.8,18.7,95.7,55,0,5.2,6.3,2.8,ºÖ°ß²¡
2013,6,0,27.1,17.2,94.9,53.3,4.4,3.5,6.9,2.9,ºÖ°ß²¡
2013,7,0,30.7,16,93.9,33,0,2.6,10.2,4,ºÖ°ß²¡
2013,8,0,30.4,21.4,95.3,56.9,15.4,5.1,6.4,3.4,ºÖ°ß²¡
2013,9,0,31.1,22.3,92.6,56.7,17.5,6,6.5,4.2,ºÖ°ß²¡
2013,10,0,31.1,21.5,95.3,54.7,0,3.5,7.5,4.2,ºÖ°ß²¡
2013,11,0,31.7,22.8,93.4,58.1,41.1,4.7,7,3.9,ºÖ°ß²¡
2013,12,0,34,23.8,92.6,45.1,0,6.1,9.1,5.1,ºÖ°ß²¡
2013,13,0,32.1,23.1,92.3,47.4,1.6,6.2,8.5,4.9,ºÖ°ß²¡
2013,14,0,32.9,22.5,90.7,55.9,18.5,5.5,9.2,4.9,ºÖ°ß²¡
2013,15,0,35.1,25.4,92.4,54.6,0,7.6,9.1,5.9,ºÖ°ß²¡
2013,16,0,35.8,25.9,91.4,50.9,0,7.9,9.3,6.2,ºÖ°ß²¡
2013,17,0,36.4,24.7,90.9,48.7,9.8,10.6,8.2,6.2,ºÖ°ß²¡
2013,18,0,35,25.7,91.3,59.6,11.4,7.2,9.2,5.1,ºÖ°ß²¡
2013,19,0,34.5,25.3,88.3,62.3,28,7.5,8,4.9,ºÖ°ß²¡
2013,20,0,35.4,26.2,86.9,49.3,0,6.3,11.1,6.5,ºÖ°ß²¡
2013,21,0,37.6,28.8,88.7,54.4,5.6,9.6,9.7,7.3,ºÖ°ß²¡
2013,22,0,41.1,29.7,86.7,39.4,0,8.7,8.9,7.5,ºÖ°ß²¡
2013,23,0,38.8,28.2,85.4,48.1,0,10,8.3,7.6,ºÖ°ß²¡
2013,24,0,35.5,26.8,86.1,70,38.9,8.3,3.2,5.5,ºÖ°ß²¡
2013,25,0,35.1,27.1,90.3,65.9,75.4,6.3,4.7,3.6,ºÖ°ß²¡
2013,26,0,30.7,26.2,93.4,80.1,14.8,3,0.9,2.1,ºÖ°ß²¡
2013,27,0,31,26.1,93.9,83.4,115.8,5.5,1.9,2.2,ºÖ°ß²¡
2013,28,0,30.7,24.9,96.3,82.3,115.2,5.2,0.9,1.7,ºÖ°ß²¡
2013,29,0,33,26.1,93.1,69.3,38.6,5.9,5.1,4.1,ºÖ°ß²¡
2013,30,0,34.8,26.1,92,69.1,99.9,4.9,8.7,4,ºÖ°ß²¡
2013,31,0,31.7,26.8,93.9,75.6,81.3,7.2,5.9,4.4,ºÖ°ß²¡
2013,32,0,31.9,26.3,94.7,76.1,49.6,3.4,2.5,3.1,ºÖ°ß²¡
2013,33,0,31.4,25.8,95,82.4,63.8,5.4,2.1,2.3,ºÖ°ß²¡
2013,34,0,31.6,26.2,92.1,79.7,54.1,3.6,6.4,3.6,ºÖ°ß²¡
2013,35,0,31.6,25.6,96.3,75.9,63,4.1,3,3,ºÖ°ß²¡
2013,36,0,31.5,25.9,92.4,79.7,99.6,3.4,4.4,2.3,ºÖ°ß²¡
2013,37,2.9,28.9,25.2,95.7,86.6,101.7,4.6,1,1.9,ºÖ°ß²¡
2013,38,9.7,31.7,25.8,91.4,77.3,50.2,3.9,6.8,3.8,ºÖ°ß²¡
2013,39,19.4,32.9,26.5,91.1,74,19.2,3,7.5,4,ºÖ°ß²¡
2013,40,9,32.3,25.7,88.3,72.9,9.8,2.4,6.7,3.7,ºÖ°ß²¡
2013,41,6,32.7,25.9,90,71.6,2.7,2.1,7.7,3.8,ºÖ°ß²¡
2013,42,5.3,28.9,24.9,96.1,89.4,121.4,4.6,3,1.8,ºÖ°ß²¡
2013,43,4.4,31.4,24.9,94.7,68.3,45.4,2.3,6.7,3,ºÖ°ß²¡
2013,44,1.3,29.1,23.1,94.7,75.4,39.8,4.8,4.9,2.7,ºÖ°ß²¡
2013,45,0,30.5,22.7,92.3,67.1,0,2.5,8.3,3.3,ºÖ°ß²¡
2013,46,0,29.3,21.8,93.3,68.7,61.8,6.1,6.6,2.8,ºÖ°ß²¡
2013,47,0,29.8,22.4,94.6,61.6,0,3.9,5.7,2.8,ºÖ°ß²¡
2013,48,0,29.1,16.4,90.4,45.1,0,2,9.4,2.7,ºÖ°ß²¡
2013,49,0,29,14.4,92.6,40.4,0,1.5,9.6,3,ºÖ°ß²¡
2013,50,0,27.7,15.5,93.1,44.7,0,2.1,8,2.9,ºÖ°ß²¡
2013,51,0,27.3,13.6,91.9,40.6,0,2.2,9.2,2.9,ºÖ°ß²¡
2013,52,0,26.8,12.9,93.6,37.9,0,1.6,8.7,2.9,ºÖ°ß²¡
1969,1,1,26.8,12.2,83.6,44,0,2.7,10,3,Ò¶ÎÁ²¡
1969,2,0,29.9,15.4,91.7,46,0,2.7,9.8,3.5,Ò¶ÎÁ²¡
1969,3,0,29.4,18.2,93.6,45,16.8,3.1,8.9,2.8,Ò¶ÎÁ²¡
1969,4,0,26.1,15.4,85.7,44,6.9,3.1,8.5,2.6,Ò¶ÎÁ²¡
1969,5,0,27.2,16.4,83.1,44,0,3.5,9.3,3.7,Ò¶ÎÁ²¡
1969,6,1,28.9,17.8,83.1,46,0.5,4.2,8.7,3.1,Ò¶ÎÁ²¡
1969,7,0,31.6,19.4,84.7,45,13.4,3.7,10.2,4.3,Ò¶ÎÁ²¡
1969,8,1,32.6,20.2,79.6,42,0,4,10.3,5.8,Ò¶ÎÁ²¡
1969,9,0,33.5,20.7,81.7,42,0,4.4,9.8,5.7,Ò¶ÎÁ²¡
1969,10,0,34,18.7,82.1,43,1.5,4.8,9.1,6.4,Ò¶ÎÁ²¡
1969,11,0,35.3,20.7,92.7,41,0,5,8.6,6.6,Ò¶ÎÁ²¡
1969,12,0,36.8,21,87,46,0,6.3,9,8.7,Ò¶ÎÁ²¡
1969,13,0,35.3,25,85.4,47,0,7,8.3,7.5,Ò¶ÎÁ²¡
1969,14,0,35,24,87.3,46,29,7.7,7,5.8,Ò¶ÎÁ²¡
1969,15,0,36.7,25.2,85.1,48,0,8.9,7.9,7,Ò¶ÎÁ²¡
1969,16,0,35.9,24.5,86.1,49,19.6,9,7.6,6.4,Ò¶ÎÁ²¡
1969,17,0,39,25.6,91.3,50,36.6,9.6,9.7,5.6,Ò¶ÎÁ²¡
1969,18,0,39.4,26.9,81.9,52,0,9.9,10.4,8.5,Ò¶ÎÁ²¡
1969,19,0,37.9,27.1,82.4,53,0,9.6,9.7,8.9,Ò¶ÎÁ²¡
1969,20,0,41,28.1,80.3,51,3.1,8.7,9.8,11.4,Ò¶ÎÁ²¡
1969,21,0,38.6,28.3,78.4,52,8.4,9.1,8.4,9.9,Ò¶ÎÁ²¡
1969,22,0,35.7,24.1,88,52,114.2,8.3,6.6,3.4,Ò¶ÎÁ²¡
1969,23,0,36.7,25.7,85.4,56,14.2,8.1,7.1,4.9,Ò¶ÎÁ²¡
1969,24,0,32.9,25.4,88.4,61,50.5,7.5,2.9,3,Ò¶ÎÁ²¡
1969,25,0,34.9,26.7,85.7,66,6.6,6.4,8.4,5.2,Ò¶ÎÁ²¡
1969,26,0,34.9,26.4,80.3,72,26.4,6.6,7.5,7.1,Ò¶ÎÁ²¡
1969,27,0,33,26.5,88.4,75,46,5.7,4.7,3.6,Ò¶ÎÁ²¡
1969,28,3,31.8,25.2,85.6,76,42,5.6,4.4,2.2,Ò¶ÎÁ²¡
1969,29,6,32,26.2,88.4,77,46,5.9,5.2,2.7,Ò¶ÎÁ²¡
1969,30,2,30.4,24.8,93.3,75,74.4,5.7,4.2,2.3,Ò¶ÎÁ²¡
1969,31,1,29.8,24.8,89.9,78,52.5,5.8,0.8,1.8,Ò¶ÎÁ²¡
1969,32,12,32.1,25.6,89.1,78,58.1,5.7,4.1,2.2,Ò¶ÎÁ²¡
